year,source,hsanum,hsacity,hsastate,agesex_grp,pop
2010,Census+HUD,20001,Augusta,ME,F_00_04,1769.43678
2010,Census+HUD,20002,Bangor,ME,F_00_04,3270.04108
2010,Census+HUD,20003,Bar Harbor,ME,F_00_04,256.06126
2010,Census+HUD,20005,Belfast,ME,F_00_04,568.4867999999999
2010,Census+HUD,20006,Biddeford,ME,F_00_04,1960.69434
2010,Census+HUD,20007,Blue Hill,ME,F_00_04,284.78970000000004
2010,Census+HUD,20008,Boothbay Harbor,ME,F_00_04,142.96272
2010,Census+HUD,20009,Bridgton,ME,F_00_04,480.86850000000004
2010,Census+HUD,20010,Brunswick,ME,F_00_04,1871.0148199999999
2010,Census+HUD,20011,Calais,ME,F_00_04,279.97018
2010,Census+HUD,20012,Caribou,ME,F_00_04,444.58624
2010,Census+HUD,20013,Damariscotta,ME,F_00_04,248.90448
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_00_04,463.16663
2010,Census+HUD,20015,Ellsworth,ME,F_00_04,652.57222
2010,Census+HUD,20016,Farmington,ME,F_00_04,946.24608
2010,Census+HUD,20017,Fort Kent,ME,F_00_04,336.16452000000004
2010,Census+HUD,20018,Houlton,ME,F_00_04,397.66270000000003
2010,Census+HUD,20019,Lewiston,ME,F_00_04,3598.1197700000002
2010,Census+HUD,20020,Lincoln,ME,F_00_04,317.89736
2010,Census+HUD,20021,Machias,ME,F_00_04,389.35496
2010,Census+HUD,20022,Millinocket,ME,F_00_04,273.48623999999995
2010,Census+HUD,20023,Norway,ME,F_00_04,639.03472
2010,Census+HUD,20024,Pittsfield,ME,F_00_04,471.71444
2010,Census+HUD,20025,Portland,ME,F_00_04,6316.17309
2010,Census+HUD,20026,Presque Isle,ME,F_00_04,520.86494
2010,Census+HUD,20027,Rockland,ME,F_00_04,1147.20072
2010,Census+HUD,20028,Rumford,ME,F_00_04,404.08075
2010,Census+HUD,20029,Sanford,ME,F_00_04,1217.48726
2010,Census+HUD,20030,Skowhegan,ME,F_00_04,750.2434800000001
2010,Census+HUD,20031,Waterville,ME,F_00_04,1806.7117500000002
2010,Census+HUD,20033,York,ME,F_00_04,1026.06724
2010,Census+HUD,20035,Greenville,ME,F_00_04,44.83403
2010,Census+HUD,30006,Dover,NH,F_00_04,319.06666
2010,Census+HUD,20001,Augusta,ME,F_05_09,1927.59908
2010,Census+HUD,20002,Bangor,ME,F_05_09,3414.6785999999997
2010,Census+HUD,20003,Bar Harbor,ME,F_05_09,253.72102
2010,Census+HUD,20005,Belfast,ME,F_05_09,586.87902
2010,Census+HUD,20006,Biddeford,ME,F_05_09,2141.68755
2010,Census+HUD,20007,Blue Hill,ME,F_05_09,282.18690000000004
2010,Census+HUD,20008,Boothbay Harbor,ME,F_05_09,145.43415
2010,Census+HUD,20009,Bridgton,ME,F_05_09,524.6365
2010,Census+HUD,20010,Brunswick,ME,F_05_09,2022.68242
2010,Census+HUD,20011,Calais,ME,F_05_09,312.08646
2010,Census+HUD,20012,Caribou,ME,F_05_09,477.62624
2010,Census+HUD,20013,Damariscotta,ME,F_05_09,253.20735
2010,Census+HUD,20014,Dover-Foxcroft,ME,F_05_09,549.2113899999999
2010,Census+HUD,20015,Ellsworth,ME,F_05_09,659.7653399999999
2010,Census+HUD,20016,Farmington,ME,F_05_09,1003.1581
2010,Census+HUD,20017,Fort Kent,ME,F_05_09,361.14702
2010,Census+HUD,20018,Houlton,ME,F_05_09,427.78121
2010,Census+HUD,20019,Lewiston,ME,F_05_09,3453.03065
2010,Census+HUD,20020,Lincoln,ME,F_05_09,333.65161
2010,Census+HUD,20021,Machias,ME,F_05_09,434.01912000000004
2010,Census+HUD,20022,Millinocket,ME,F_05_09,287.29740999999996
2010,Census+HUD,20023,Norway,ME,F_05_09,698.87913
2010,Census+HUD,20024,Pittsfield,ME,F_05_09,524.77017
2010,Census+HUD,20025,Portland,ME,F_05_09,6882.18797
2010,Census+HUD,20026,Presque Isle,ME,F_05_09,559.57369
2010,Census+HUD,20027,Rockland,ME,F_05_09,1226.20693
2010,Census+HUD,20028,Rumford,ME,F_05_09,441.86580000000004
2010,Census+HUD,20029,Sanford,ME,F_05_09,1329.87445
2010,Census+HUD,20030,Skowhegan,ME,F_05_09,869.11514
2010,Census+HUD,20031,Waterville,ME,F_05_09,1982.42922
2010,Census+HUD,20033,York,ME,F_05_09,1120.7843
2010,Census+HUD,20035,Greenville,ME,F_05_09,55.26884
2010,Census+HUD,30006,Dover,NH,F_05_09,348.51995
2010,Census+HUD,20001,Augusta,ME,F_10_14,2057.6636
2010,Census+HUD,20002,Bangor,ME,F_10_14,3484.3781999999997
2010,Census+HUD,20003,Bar Harbor,ME,F_10_14,263.86206
2010,Census+HUD,20005,Belfast,ME,F_10_14,613.074
