year,source,zip,agesex_grp,pop
2010,Census,3579,F_00_04,8
2010,Census,3579,F_05_09,4
2010,Census,3579,F_10_14,8
2010,Census,3579,F_15_19,6
2010,Census,3579,F_20_24,8
2010,Census,3579,F_25_29,8
2010,Census,3579,F_30_34,6
2010,Census,3579,F_35_39,9
2010,Census,3579,F_40_44,16
2010,Census,3579,F_45_49,20
2010,Census,3579,F_50_54,22
2010,Census,3579,F_55_59,25
2010,Census,3579,F_60_64,27
2010,Census,3579,F_65_69,21
2010,Census,3579,F_70_74,7
2010,Census,3579,F_75_79,9
2010,Census,3579,F_80_84,5
2010,Census,3579,F_85_110,3
2010,Census,3579,M_00_04,12
2010,Census,3579,M_05_09,5
2010,Census,3579,M_10_14,7
2010,Census,3579,M_15_19,4
2010,Census,3579,M_20_24,10
2010,Census,3579,M_25_29,13
2010,Census,3579,M_30_34,9
2010,Census,3579,M_35_39,9
2010,Census,3579,M_40_44,12
2010,Census,3579,M_45_49,25
2010,Census,3579,M_50_54,32
2010,Census,3579,M_55_59,16
2010,Census,3579,M_60_64,28
2010,Census,3579,M_65_69,31
2010,Census,3579,M_70_74,18
2010,Census,3579,M_75_79,11
2010,Census,3579,M_80_84,3
2010,Census,3579,M_85_110,4
2010,Census,3901,F_00_04,218
2010,Census,3901,F_05_09,269
2010,Census,3901,F_10_14,249
2010,Census,3901,F_15_19,235
2010,Census,3901,F_20_24,169
2010,Census,3901,F_25_29,212
2010,Census,3901,F_30_34,242
2010,Census,3901,F_35_39,271
2010,Census,3901,F_40_44,270
2010,Census,3901,F_45_49,307
2010,Census,3901,F_50_54,345
2010,Census,3901,F_55_59,249
2010,Census,3901,F_60_64,195
2010,Census,3901,F_65_69,156
2010,Census,3901,F_70_74,89
2010,Census,3901,F_75_79,66
2010,Census,3901,F_80_84,75
2010,Census,3901,F_85_110,49
2010,Census,3901,M_00_04,269
2010,Census,3901,M_05_09,247
2010,Census,3901,M_10_14,243
2010,Census,3901,M_15_19,256
2010,Census,3901,M_20_24,160
2010,Census,3901,M_25_29,207
2010,Census,3901,M_30_34,227
2010,Census,3901,M_35_39,251
2010,Census,3901,M_40_44,267
2010,Census,3901,M_45_49,284
2010,Census,3901,M_50_54,352
2010,Census,3901,M_55_59,252
2010,Census,3901,M_60_64,200
2010,Census,3901,M_65_69,143
2010,Census,3901,M_70_74,99
2010,Census,3901,M_75_79,64
2010,Census,3901,M_80_84,37
2010,Census,3901,M_85_110,22
2010,Census,3902,F_00_04,41
2010,Census,3902,F_05_09,55
2010,Census,3902,F_10_14,64
2010,Census,3902,F_15_19,47
2010,Census,3902,F_20_24,33
2010,Census,3902,F_25_29,42
2010,Census,3902,F_30_34,36
2010,Census,3902,F_35_39,53
2010,Census,3902,F_40_44,82
2010,Census,3902,F_45_49,119
2010,Census,3902,F_50_54,110
2010,Census,3902,F_55_59,112
2010,Census,3902,F_60_64,100
2010,Census,3902,F_65_69,76
2010,Census,3902,F_70_74,53
2010,Census,3902,F_75_79,32
2010,Census,3902,F_80_84,24
2010,Census,3902,F_85_110,24
2010,Census,3902,M_00_04,63
2010,Census,3902,M_05_09,62
2010,Census,3902,M_10_14,58
2010,Census,3902,M_15_19,60
2010,Census,3902,M_20_24,35
2010,Census,3902,M_25_29,42
2010,Census,3902,M_30_34,41
2010,Census,3902,M_35_39,55
2010,Census,3902,M_40_44,77
2010,Census,3902,M_45_49,105
2010,Census,3902,M_50_54,105
2010,Census,3902,M_55_59,106
2010,Census,3902,M_60_64,96
2010,Census,3902,M_65_69,78
2010,Census,3902,M_70_74,46
2010,Census,3902,M_75_79,32
2010,Census,3902,M_80_84,28
2010,Census,3902,M_85_110,19
2010,Census,3903,F_00_04,137
2010,Census,3903,F_05_09,167
2010,Census,3903,F_10_14,230
2010,Census,3903,F_15_19,190
2010,Census,3903,F_20_24,128
2010,Census,3903,F_25_29,140
2010,Census,3903,F_30_34,120
2010,Census,3903,F_35_39,180
2010,Census,3903,F_40_44,224
2010,Census,3903,F_45_49,350
2010,Census,3903,F_50_54,306
2010,Census,3903,F_55_59,282
2010,Census,3903,F_60_64,223
2010,Census,3903,F_65_69,162
2010,Census,3903,F_70_74,111
2010,Census,3903,F_75_79,102
2010,Census,3903,F_80_84,64
2010,Census,3903,F_85_110,64
2010,Census,3903,M_00_04,152
2010,Census,3903,M_05_09,216
2010,Census,3903,M_10_14,221
2010,Census,3903,M_15_19,163
2010,Census,3903,M_20_24,130
2010,Census,3903,M_25_29,135
2010,Census,3903,M_30_34,143
2010,Census,3903,M_35_39,171
2010,Census,3903,M_40_44,216
2010,Census,3903,M_45_49,299
2010,Census,3903,M_50_54,295
2010,Census,3903,M_55_59,254
2010,Census,3903,M_60_64,230
2010,Census,3903,M_65_69,161
2010,Census,3903,M_70_74,101
2010,Census,3903,M_75_79,65
2010,Census,3903,M_80_84,52
2010,Census,3903,M_85_110,27
2010,Census,3904,F_00_04,256
2010,Census,3904,F_05_09,193
2010,Census,3904,F_10_14,181
2010,Census,3904,F_15_19,178
2010,Census,3904,F_20_24,232
2010,Census,3904,F_25_29,261
2010,Census,3904,F_30_34,269
2010,Census,3904,F_35_39,264
2010,Census,3904,F_40_44,254
2010,Census,3904,F_45_49,278
2010,Census,3904,F_50_54,289
2010,Census,3904,F_55_59,289
2010,Census,3904,F_60_64,242
2010,Census,3904,F_65_69,176
2010,Census,3904,F_70_74,169
2010,Census,3904,F_75_79,155
2010,Census,3904,F_80_84,142
2010,Census,3904,F_85_110,148
2010,Census,3904,M_00_04,268
2010,Census,3904,M_05_09,203
2010,Census,3904,M_10_14,157
2010,Census,3904,M_15_19,179
2010,Census,3904,M_20_24,285
2010,Census,3904,M_25_29,314
2010,Census,3904,M_30_34,298
2010,Census,3904,M_35_39,255
2010,Census,3904,M_40_44,236
2010,Census,3904,M_45_49,281
2010,Census,3904,M_50_54,264
2010,Census,3904,M_55_59,276
2010,Census,3904,M_60_64,207
2010,Census,3904,M_65_69,118
2010,Census,3904,M_70_74,135
2010,Census,3904,M_75_79,90
2010,Census,3904,M_80_84,92
2010,Census,3904,M_85_110,69
