county,year,hsanum,hsacity,hsastate,ratio
23001,2010,20016,Farmington,ME,0.04983
23001,2010,20019,Lewiston,ME,0.94982
23001,2010,20023,Norway,ME,2.7e-4
23001,2010,20025,Portland,ME,8e-5
23003,2010,20012,Caribou,ME,0.26432
23003,2010,20017,Fort Kent,ME,0.19986
23003,2010,20018,Houlton,ME,0.20903
23003,2010,20020,Lincoln,ME,0.00598
23003,2010,20022,Millinocket,ME,0.01114
23003,2010,20026,Presque Isle,ME,0.30967
23005,2010,20009,Bridgton,ME,0.0425
23005,2010,20010,Brunswick,ME,0.13124
23005,2010,20019,Lewiston,ME,0.01621
23005,2010,20025,Portland,ME,0.81005
23007,2010,20016,Farmington,ME,0.98005
23007,2010,20028,Rumford,ME,0.01995
23009,2010,20002,Bangor,ME,0.17198
23009,2010,20003,Bar Harbor,ME,0.19502
23009,2010,20007,Blue Hill,ME,0.2169
23009,2010,20015,Ellsworth,ME,0.4161
23011,2010,20001,Augusta,ME,0.50076
23011,2010,20016,Farmington,ME,0.02644
23011,2010,20019,Lewiston,ME,0.0374
23011,2010,20031,Waterville,ME,0.43541
23013,2010,20007,Blue Hill,ME,0
23013,2010,20027,Rockland,ME,1
23015,2010,20001,Augusta,ME,0.18979
23015,2010,20008,Boothbay Harbor,ME,0.19011
23015,2010,20010,Brunswick,ME,0.14761
23015,2010,20013,Damariscotta,ME,0.33099
23015,2010,20027,Rockland,ME,0.14151
23017,2010,20009,Bridgton,ME,0.1281
23017,2010,20016,Farmington,ME,4e-5
23017,2010,20019,Lewiston,ME,0.08511
23017,2010,20023,Norway,ME,0.46073
23017,2010,20025,Portland,ME,0.04441
23017,2010,20028,Rumford,ME,0.2816
23019,2010,20002,Bangor,ME,0.76638
23019,2010,20014,Dover-Foxcroft,ME,0.0308
23019,2010,20018,Houlton,ME,0.00512
23019,2010,20020,Lincoln,ME,0.08025
23019,2010,20022,Millinocket,ME,0.06641
23019,2010,20024,Pittsfield,ME,0.05104
23021,2010,20002,Bangor,ME,1.4e-4
23021,2010,20014,Dover-Foxcroft,ME,0.86807
23021,2010,20030,Skowhegan,ME,0.01892
23021,2010,20035,Greenville,ME,0.11287
23023,2010,20001,Augusta,ME,0.09547
23023,2010,20010,Brunswick,ME,0.90435
23023,2010,20019,Lewiston,ME,1.8e-4
23025,2010,20014,Dover-Foxcroft,ME,0.019
23025,2010,20016,Farmington,ME,0.00268
23025,2010,20024,Pittsfield,ME,0.21225
23025,2010,20030,Skowhegan,ME,0.57174
23025,2010,20031,Waterville,ME,0.19188
