year,agesex_grp,hsanum,hsacity,hsastate,hsa_pop
2010,F_00_04,20001,Augusta,ME,1769.43678
2010,F_00_04,20002,Bangor,ME,3270.04108
2010,F_00_04,20003,Bar Harbor,ME,256.06126
2010,F_00_04,20005,Belfast,ME,568.4867999999999
2010,F_00_04,20006,Biddeford,ME,1960.69434
2010,F_00_04,20007,Blue Hill,ME,284.78970000000004
2010,F_00_04,20008,Boothbay Harbor,ME,142.96272
2010,F_00_04,20009,Bridgton,ME,480.86850000000004
2010,F_00_04,20010,Brunswick,ME,1871.0148199999999
2010,F_00_04,20011,Calais,ME,279.97018
2010,F_00_04,20012,Caribou,ME,444.58624
2010,F_00_04,20013,Damariscotta,ME,248.90448
2010,F_00_04,20014,Dover-Foxcroft,ME,463.16663
2010,F_00_04,20015,Ellsworth,ME,652.57222
2010,F_00_04,20016,Farmington,ME,946.24608
2010,F_00_04,20017,Fort Kent,ME,336.16452000000004
2010,F_00_04,20018,Houlton,ME,397.66270000000003
2010,F_00_04,20019,Lewiston,ME,3598.1197700000002
2010,F_00_04,20020,Lincoln,ME,317.89736
2010,F_00_04,20021,Machias,ME,389.35496
2010,F_00_04,20022,Millinocket,ME,273.48623999999995
2010,F_00_04,20023,Norway,ME,639.03472
2010,F_00_04,20024,Pittsfield,ME,471.71444
2010,F_00_04,20025,Portland,ME,6316.17309
2010,F_00_04,20026,Presque Isle,ME,520.86494
2010,F_00_04,20027,Rockland,ME,1147.20072
2010,F_00_04,20028,Rumford,ME,404.08075
2010,F_00_04,20029,Sanford,ME,1217.48726
2010,F_00_04,20030,Skowhegan,ME,750.2434800000001
2010,F_00_04,20031,Waterville,ME,1806.7117500000002
2010,F_00_04,20033,York,ME,1026.06724
2010,F_00_04,20035,Greenville,ME,44.83403
2010,F_00_04,30006,Dover,NH,319.06666
2010,F_00_04,30022,Portsmouth,NH,0
2010,F_05_09,20001,Augusta,ME,1927.59908
2010,F_05_09,20002,Bangor,ME,3414.6785999999997
2010,F_05_09,20003,Bar Harbor,ME,253.72102
2010,F_05_09,20005,Belfast,ME,586.87902
2010,F_05_09,20006,Biddeford,ME,2141.68755
2010,F_05_09,20007,Blue Hill,ME,282.18690000000004
2010,F_05_09,20008,Boothbay Harbor,ME,145.43415
2010,F_05_09,20009,Bridgton,ME,524.6365
2010,F_05_09,20010,Brunswick,ME,2022.68242
2010,F_05_09,20011,Calais,ME,312.08646
2010,F_05_09,20012,Caribou,ME,477.62624
2010,F_05_09,20013,Damariscotta,ME,253.20735
2010,F_05_09,20014,Dover-Foxcroft,ME,549.2113899999999
2010,F_05_09,20015,Ellsworth,ME,659.7653399999999
2010,F_05_09,20016,Farmington,ME,1003.1581
2010,F_05_09,20017,Fort Kent,ME,361.14702
2010,F_05_09,20018,Houlton,ME,427.78121
2010,F_05_09,20019,Lewiston,ME,3453.03065
2010,F_05_09,20020,Lincoln,ME,333.65161
2010,F_05_09,20021,Machias,ME,434.01912000000004
2010,F_05_09,20022,Millinocket,ME,287.29740999999996
2010,F_05_09,20023,Norway,ME,698.87913
2010,F_05_09,20024,Pittsfield,ME,524.77017
2010,F_05_09,20025,Portland,ME,6882.18797
2010,F_05_09,20026,Presque Isle,ME,559.57369
2010,F_05_09,20027,Rockland,ME,1226.20693
2010,F_05_09,20028,Rumford,ME,441.86580000000004
2010,F_05_09,20029,Sanford,ME,1329.87445
2010,F_05_09,20030,Skowhegan,ME,869.11514
2010,F_05_09,20031,Waterville,ME,1982.42922
2010,F_05_09,20033,York,ME,1120.7843
2010,F_05_09,20035,Greenville,ME,55.26884
2010,F_05_09,30006,Dover,NH,348.51995
2010,F_05_09,30022,Portsmouth,NH,0
2010,F_10_14,20001,Augusta,ME,2057.6636
2010,F_10_14,20002,Bangor,ME,3484.3781999999997
2010,F_10_14,20003,Bar Harbor,ME,263.86206
2010,F_10_14,20005,Belfast,ME,613.074
2010,F_10_14,20006,Biddeford,ME,2368.22352
2010,F_10_14,20007,Blue Hill,ME,293.4657
2010,F_10_14,20008,Boothbay Harbor,ME,171.66933
2010,F_10_14,20009,Bridgton,ME,580.5782
2010,F_10_14,20010,Brunswick,ME,2140.30598
2010,F_10_14,20011,Calais,ME,304.75557000000003
2010,F_10_14,20012,Caribou,ME,551.37152
2010,F_10_14,20013,Damariscotta,ME,298.88397000000003
2010,F_10_14,20014,Dover-Foxcroft,ME,570.26519
2010,F_10_14,20015,Ellsworth,ME,678.6208799999999
2010,F_10_14,20016,Farmington,ME,1071.78718
2010,F_10_14,20017,Fort Kent,ME,416.90796
2010,F_10_14,20018,Houlton,ME,485.78218000000004
2010,F_10_14,20019,Lewiston,ME,3440.07012
2010,F_10_14,20020,Lincoln,ME,341.17828000000003
2010,F_10_14,20021,Machias,ME,423.82404
2010,F_10_14,20022,Millinocket,ME,295.2534
2010,F_10_14,20023,Norway,ME,805.75418
2010,F_10_14,20024,Pittsfield,ME,544.62709
2010,F_10_14,20025,Portland,ME,7446.664180000001
2010,F_10_14,20026,Presque Isle,ME,645.97162
2010,F_10_14,20027,Rockland,ME,1429.6695300000001
2010,F_10_14,20028,Rumford,ME,508.53365
2010,F_10_14,20029,Sanford,ME,1470.5412800000001
2010,F_10_14,20030,Skowhegan,ME,912.9457800000001
2010,F_10_14,20031,Waterville,ME,2095.89844
2010,F_10_14,20033,York,ME,1239.33472
2010,F_10_14,20035,Greenville,ME,57.71244
2010,F_10_14,30006,Dover,NH,385.38448
2010,F_10_14,30022,Portsmouth,NH,0
2010,F_15_19,20001,Augusta,ME,2231.9989
2010,F_15_19,20002,Bangor,ME,4729.0039799999995
2010,F_15_19,20003,Bar Harbor,ME,290.5798
2010,F_15_19,20005,Belfast,ME,681.0694799999999
2010,F_15_19,20006,Biddeford,ME,2514.66705
2010,F_15_19,20007,Blue Hill,ME,323.18100000000004
2010,F_15_19,20008,Boothbay Harbor,ME,162.92427
2010,F_15_19,20009,Bridgton,ME,622.7569000000001
2010,F_15_19,20010,Brunswick,ME,2245.11972
2010,F_15_19,20011,Calais,ME,344.90092
2010,F_15_19,20012,Caribou,ME,605.02848
2010,F_15_19,20013,Damariscotta,ME,283.65843
2010,F_15_19,20014,Dover-Foxcroft,ME,635.12112
2010,F_15_19,20015,Ellsworth,ME,750.8594800000001
2010,F_15_19,20016,Farmington,ME,1488.87376
2010,F_15_19,20017,Fort Kent,ME,457.47954000000004
2010,F_15_19,20018,Houlton,ME,540.07991
2010,F_15_19,20019,Lewiston,ME,3713.66537
2010,F_15_19,20020,Lincoln,ME,468.94647000000003
2010,F_15_19,20021,Machias,ME,479.65424
2010,F_15_19,20022,Millinocket,ME,402.24339
2010,F_15_19,20023,Norway,ME,852.81695
2010,F_15_19,20024,Pittsfield,ME,622.78242
2010,F_15_19,20025,Portland,ME,8041.250010000001
2010,F_15_19,20026,Presque Isle,ME,708.83463
2010,F_15_19,20027,Rockland,ME,1289.56379
2010,F_15_19,20028,Rumford,ME,545.2967
2010,F_15_19,20029,Sanford,ME,1561.47495
2010,F_15_19,20030,Skowhegan,ME,907.01612
2010,F_15_19,20031,Waterville,ME,2277.09097
2010,F_15_19,20033,York,ME,1315.9713
2010,F_15_19,20035,Greenville,ME,59.83002
2010,F_15_19,30006,Dover,NH,409.21545000000003
