GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US03579,03579,ZCTA5 03579,269,46,127,30,109,28,142,30,6.3,4.7,1.6,2.9,0.0,23.7,12.0,8.7,11.2,6.0,1.6,5.1,0.0,23.7,19.7,10.1,20.8,7.5,10.2,6.7,7.3,5.7,30.3,11.8,11.2,6.0,4.7,5.4,5.5,6.4,15.5,8.8,16.4,7.3,24.4,12.0,23.9,14.3,9.2,8.2,21.2,7.9,34.6,12.5,36.7,12.9,9.2,8.1,7.4,4.1,13.4,7.8,15.6,8.9,2.1,2.6,2.6,1.9,3.1,3.8,3.7,4.5,2.1,2.9,3.0,3.5,6.3,7.3,7.3,8.6,0.0,18.9,0.0,10.5,0.0,20.9,0.0,23.7,0.0,18.9,40063,16705,56875,13046,59375,7928,21944,4655,44203,5597,61572,9667,N,N,28287,4600,34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.9,(X)
8600000US03901,03901,ZCTA5 03901,2704,141,2073,116,1585,174,631,173,2.8,2.7,1.1,1.3,1.5,1.7,8.6,10.4,4.4,2.9,2.1,2.8,2.8,3.7,12.0,8.1,8.4,4.2,7.4,5.1,3.8,3.6,19.5,14.6,9.1,3.1,6.5,4.5,5.4,5.0,10.0,7.1,8.9,3.4,15.7,6.8,6.1,4.1,12.8,7.9,24.6,5.8,20.1,6.5,23.7,7.6,13.2,10.4,19.6,5.8,25.6,7.5,29.4,8.7,2.4,3.8,15.3,5.1,15.3,5.1,19.4,6.7,13.0,10.9,5.0,2.5,5.1,2.9,6.6,3.8,4.6,5.7,1.7,1.4,1.1,1.2,1.4,1.6,4.0,4.4,64309,8301,69558,10077,82679,7356,32422,18434,73718,6676,74554,5493,N,N,63886,21689,22.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.0,(X)
8600000US03902,03902,ZCTA5 03902,1069,183,549,142,537,143,520,179,11.0,9.4,8.6,12.9,8.8,13.0,13.7,14.0,3.2,3.7,0.0,4.0,0.0,4.1,6.5,8.1,5.6,4.7,6.0,7.0,3.9,6.1,5.2,5.7,2.9,3.1,2.7,4.1,2.8,4.2,3.1,4.9,15.2,7.6,19.7,12.5,20.1,12.8,10.4,8.0,14.3,7.3,14.0,9.5,14.3,9.7,14.6,11.7,10.0,8.2,8.7,8.7,8.9,9.0,11.3,13.9,18.6,8.8,29.7,12.7,30.4,13.2,6.9,11.7,9.7,8.7,8.0,8.8,8.2,9.0,11.5,15.1,9.4,8.5,2.6,4.2,2.6,4.3,16.7,15.2,72042,22278,72042,38921,80096,38160,71250,29180,85776,19682,81448,15942,N,N,90346,34070,19.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.1,(X)
8600000US03903,03903,ZCTA5 03903,2392,130,1635,135,1406,136,757,157,4.1,2.8,1.7,2.0,0.7,1.1,10.8,8.4,1.6,1.6,2.3,2.6,0.0,1.6,3.8,4.4,8.1,3.3,1.2,1.3,0.7,1.2,19.8,9.5,5.5,3.4,2.1,3.1,0.0,1.6,12.9,9.3,9.9,4.1,9.1,5.1,8.2,5.8,13.2,7.7,16.0,4.8,21.7,6.9,23.4,7.8,1.7,2.8,23.1,6.0,21.9,6.2,23.7,7.0,25.6,11.8,16.8,5.3,21.3,6.4,21.4,6.2,10.8,10.0,10.2,4.1,12.4,5.0,14.4,5.7,0.0,2.9,4.8,2.5,6.4,3.5,7.5,3.9,1.2,2.0,79403,6004,87644,14511,93289,11863,39191,14043,88845,8708,102614,11720,N,N,52533,11430,21.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.0,(X)
8600000US03904,03904,ZCTA5 03904,3586,252,2083,187,1578,203,1503,243,5.4,3.4,0.0,1.1,0.0,1.4,12.9,7.8,2.1,1.3,0.0,1.1,0.0,1.4,5.1,3.2,8.2,3.4,3.2,2.0,1.3,1.5,15.1,7.8,10.3,3.3,7.3,3.5,5.4,3.0,14.4,6.2,14.7,5.0,13.3,6.6,9.2,6.5,17.9,7.0,18.0,4.1,21.7,6.0,27.0,7.7,11.6,5.6,16.8,4.2,24.2,6.4,22.8,7.0,10.6,5.9,16.6,4.1,18.6,5.5,18.8,5.7,9.8,5.3,5.2,2.3,7.8,3.8,10.3,5.0,1.7,1.8,2.7,1.5,3.9,2.3,5.2,3.1,0.9,1.5,59521,10380,81438,8995,89914,10876,36803,6898,74153,5581,90300,6577,N,N,49422,8631,18.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),15.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
8600000US03905,03905,ZCTA5 03905,778,147,448,126,301,96,330,103,6.8,7.9,8.0,12.0,0.0,7.2,5.2,8.2,5.3,4.7,0.0,4.9,0.0,7.2,12.4,10.1,12.6,8.4,2.2,3.7,3.3,5.2,26.7,17.1,8.9,6.9,8.0,8.7,12.0,12.4,10.0,10.8,12.9,7.4,9.8,8.0,14.6,10.4,17.0,12.7,20.2,11.2,24.8,15.8,29.2,16.9,13.9,11.8,5.5,4.7,6.0,5.4,9.0,7.9,4.8,8.6,26.5,13.8,38.6,21.0,28.2,18.5,10.0,11.3,1.4,2.1,2.5,3.7,3.7,5.5,0.0,6.6,0.0,2.8,0.0,4.9,0.0,7.2,0.0,6.6,62500,22353,68375,33567,67031,12471,30313,19654,64420,12894,80490,17893,N,N,42603,12997,19.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9.4,(X)
8600000US03906,03906,ZCTA5 03906,1818,122,1349,123,1081,145,469,131,2.4,2.2,2.5,3.5,0.0,2.1,9.4,8.6,2.6,1.9,0.4,0.7,0.6,0.9,8.7,7.1,7.9,3.8,3.0,2.0,2.5,2.4,21.7,11.6,6.4,3.0,5.5,3.7,6.8,4.6,9.0,5.8,12.8,4.2,14.9,5.5,7.9,4.3,3.4,3.9,20.5,4.1,19.7,4.8,21.8,6.4,23.0,10.5,20.4,5.3,24.3,5.9,27.1,7.0,6.0,5.5,21.8,5.7,22.3,6.9,24.2,7.8,18.8,12.4,3.6,2.0,5.4,2.9,6.8,3.6,0.0,4.7,1.8,1.6,1.9,2.1,2.3,2.6,0.0,4.7,72991,10834,79896,6178,85677,6835,36528,33136,75493,5552,82352,6762,N,N,50424,11792,17.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.6,(X)
8600000US03907,03907,ZCTA5 03907,594,98,319,72,255,66,275,81,2.2,1.7,3.1,3.0,2.4,3.0,1.1,1.7,3.5,3.4,0.0,6.8,0.0,8.4,7.6,7.5,8.6,4.6,3.8,4.8,4.7,5.9,14.2,8.7,14.8,9.2,13.5,12.7,7.1,6.3,16.4,13.5,11.8,6.3,10.0,6.3,9.8,6.0,13.8,11.4,18.0,8.0,22.9,12.0,27.5,14.2,12.4,9.0,9.3,5.5,9.7,6.9,12.2,8.4,8.7,8.2,19.2,6.2,19.4,8.1,14.5,6.5,21.5,12.0,4.5,3.5,5.3,5.5,6.7,6.7,1.1,1.8,8.1,5.9,12.2,11.0,15.3,13.2,3.3,3.2,61750,12556,70795,19439,72386,20018,47639,24470,90958,18383,109573,36565,N,N,68295,15785,33.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
8600000US03908,03908,ZCTA5 03908,2688,172,1920,139,1548,152,768,208,2.6,2.0,1.7,1.8,0.0,1.4,5.1,5.8,3.8,3.4,1.8,2.1,0.0,1.4,8.7,10.5,7.1,3.4,5.2,3.4,1.6,1.9,11.7,9.0,11.1,5.8,4.1,3.6,2.1,2.4,28.6,15.6,11.9,5.1,10.4,5.2,7.4,4.0,15.9,11.5,13.4,4.4,11.4,4.7,10.3,5.3,19.1,8.7,15.3,4.3,19.7,6.6,21.7,7.0,9.1,10.7,20.1,4.8,27.4,6.6,34.0,8.3,1.7,2.8,8.3,3.8,9.5,4.2,11.8,5.2,0.0,2.9,6.4,3.8,9.0,5.2,11.1,6.3,0.0,2.9,75341,19238,95164,8670,105551,6953,34158,8883,86840,9926,103817,11262,N,N,39495,6580,18.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.4,(X)
