GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US03579,03579,ZCTA5 03579,269,46,40063,16705,98.1,3.1,40375,13298,0.0,10.5,-,**,0.0,10.5,-,**,0.0,10.5,-,**,0.0,10.5,-,**,0.0,10.5,-,**,1.9,3.1,-,**,3.7,5.1,-,**,94.4,5.8,41000,8936,4.5,5.3,-,**,15.6,6.8,53750,15577,47.6,9.8,44583,13942,32.3,8.6,23750,11383,127,30,56875,13046,18.9,9.7,60000,10560,81.1,9.7,51750,9506,85.8,10.4,59375,7928,7.1,6.9,18750,73170,7.1,7.9,38750,26280,142,30,21944,4655,33.8,11.5,15313,3214,26.8,11.1,16875,3963,7.0,9.7,-,**,66.2,11.5,24375,3148,53.5,13.6,23000,3154,12.7,6.5,58500,15178,34.6,(X),(X),(X),31.5,(X),(X),(X),35.9,(X),(X),(X)
8600000US03901,03901,ZCTA5 03901,2704,141,64309,8301,97.2,3.1,65000,8910,0.0,0.8,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.0,0.8,-,**,2.8,3.1,-,**,1.2,1.7,-,**,96.0,3.5,66379,8606,2.6,3.6,28698,16294,33.3,4.4,73113,11324,43.0,5.0,77083,16308,21.1,5.1,30391,10187,2073,116,69558,10077,44.5,6.9,69867,13976,55.5,6.9,69143,14008,76.5,7.2,82679,7356,17.5,6.8,39068,4939,6.1,5.4,39325,55624,631,173,32422,18434,46.3,12.8,35938,29190,40.6,12.3,31094,45745,5.7,4.8,36875,222128,53.7,12.8,29234,27334,33.6,15.5,21402,6425,20.1,13.0,107902,92478,22.0,(X),(X),(X),21.9,(X),(X),(X),22.0,(X),(X),(X)
8600000US03902,03902,ZCTA5 03902,1069,183,72042,22278,93.2,7.2,68000,18393,0.0,2.1,-,**,0.0,2.1,-,**,4.6,6.0,-,**,0.0,2.1,-,**,2.2,3.6,-,**,0.0,2.1,-,**,0.0,2.1,-,**,93.2,7.2,68000,18393,0.0,2.1,-,**,23.9,12.2,80163,40565,54.7,11.5,81058,68678,21.3,9.1,59667,32791,549,142,72042,38921,26.2,13.7,117167,23193,73.8,13.7,53555,25484,97.8,3.8,80096,38160,2.2,3.8,-,**,0.0,4.0,-,**,520,179,71250,29180,49.2,18.7,42396,57982,33.1,21.3,19500,46060,16.2,11.4,210357,264420,50.8,18.7,81359,82000,29.6,14.8,72639,133761,21.2,17.7,82283,163711,19.7,(X),(X),(X),22.2,(X),(X),(X),17.1,(X),(X),(X)
8600000US03903,03903,ZCTA5 03903,2392,130,79403,6004,98.6,1.7,80013,5576,0.7,1.3,-,**,0.0,0.9,-,**,0.0,0.9,-,**,0.0,0.9,-,**,0.0,0.9,-,**,0.7,1.0,-,**,2.5,3.1,-,**,96.2,3.5,78918,5721,1.7,1.5,21417,25337,25.6,4.6,82697,10643,46.0,4.5,85532,13208,26.7,4.1,57059,21294,1635,135,87644,14511,38.2,5.4,82566,17297,61.8,5.4,92273,15545,86.0,6.3,93289,11863,13.0,6.2,45278,32384,1.0,1.2,-,**,757,157,39191,14043,55.7,12.7,26094,13095,41.2,13.4,22045,7132,14.5,9.5,34706,114914,44.3,12.7,76065,54547,28.0,12.0,45238,19063,16.2,10.3,86276,19168,21.6,(X),(X),(X),21.8,(X),(X),(X),21.0,(X),(X),(X)
8600000US03904,03904,ZCTA5 03904,3586,252,59521,10380,96.0,2.7,59574,11879,2.0,2.1,47195,57375,0.2,0.4,-,**,1.4,1.3,47426,139059,0.0,0.6,-,**,0.4,0.7,-,**,0.0,0.6,-,**,1.8,1.5,32012,28050,94.6,3.0,61371,11770,4.7,3.2,42601,61237,26.0,4.8,76406,13927,42.4,5.3,71000,15550,26.8,3.5,38438,10535,2083,187,81438,8995,29.0,6.1,80271,14911,71.0,6.1,88190,17726,75.8,6.8,89914,10876,13.3,5.1,64464,42435,10.9,5.0,48611,68909,1503,243,36803,6898,57.5,8.9,22281,9487,54.2,8.9,21516,7161,3.3,2.4,48472,35195,42.5,8.9,56017,8123,32.4,8.3,53973,15896,10.1,6.2,108611,87998,18.7,(X),(X),(X),15.9,(X),(X),(X),22.5,(X),(X),(X)
8600000US03905,03905,ZCTA5 03905,778,147,62500,22353,100.0,2.8,62500,22353,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,100.0,2.8,62500,22353,0.0,2.8,-,**,8.1,7.5,"2,500-",***,55.4,13.6,66808,20545,36.5,12.4,31597,20445,448,126,68375,33567,22.8,15.2,65063,61971,77.2,15.2,87321,70758,67.2,21.2,67031,12471,20.3,22.7,-,**,12.5,13.1,-,**,330,103,30313,19654,68.2,21.1,43839,19031,59.1,21.6,35938,20942,9.1,11.2,-,**,31.8,21.1,21442,9122,26.1,20.7,20833,8590,5.8,9.1,-,**,19.0,(X),(X),(X),26.1,(X),(X),(X),9.4,(X),(X),(X)
8600000US03906,03906,ZCTA5 03906,1818,122,72991,10834,99.3,1.2,72723,11166,0.0,1.2,-,**,0.0,1.2,-,**,0.0,1.2,-,**,0.0,1.2,-,**,0.0,1.2,-,**,0.7,1.2,-,**,0.6,0.8,-,**,98.7,1.5,72790,11217,0.3,0.5,-,**,31.7,4.1,82826,9817,44.6,4.5,81761,17007,23.4,3.4,32500,10955,1349,123,79896,6178,35.2,6.5,81083,15164,64.8,6.5,79231,9075,80.1,6.8,85677,6835,11.4,5.2,45391,17917,8.5,5.0,44659,21484,469,131,36528,33136,45.6,12.5,25278,14844,40.7,11.8,21680,12882,4.9,5.1,-,**,54.4,12.5,60852,34866,33.3,11.3,24375,23439,21.1,13.2,112736,30307,17.4,(X),(X),(X),16.9,(X),(X),(X),16.6,(X),(X),(X)
8600000US03907,03907,ZCTA5 03907,594,98,61750,12556,100.0,3.7,61750,12556,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,100.0,3.7,61750,12556,0.0,3.7,-,**,5.2,4.1,73523,36946,46.5,9.1,86667,42798,48.3,9.4,54306,12348,319,72,70795,19439,10.7,8.8,202763,189416,89.3,8.8,67656,11942,79.9,13.3,72386,20018,11.0,8.3,140139,75052,9.1,12.0,-,**,275,81,47639,24470,57.5,14.8,38750,31515,42.2,14.1,28026,15861,15.3,10.3,74545,26537,42.5,14.8,49306,83481,24.7,12.5,27391,30449,17.8,11.4,119844,13655,33.5,(X),(X),(X),37.0,(X),(X),(X),29.5,(X),(X),(X)
8600000US03908,03908,ZCTA5 03908,2688,172,75341,19238,96.7,2.4,78022,15781,0.0,0.8,-,**,0.0,0.8,-,**,0.3,0.5,-,**,0.0,0.8,-,**,0.0,0.8,-,**,3.1,2.5,30245,43356,0.0,0.8,-,**,96.7,2.4,78022,15781,0.0,0.8,-,**,35.5,5.1,76420,24087,42.9,5.0,96490,11904,21.6,3.6,40409,14546,1920,139,95164,8670,52.1,6.6,87250,20147,47.9,6.6,102650,22062,80.6,6.2,105551,6953,11.7,5.1,48621,11734,7.7,4.5,17394,28872,768,208,34158,8883,64.3,14.9,33377,8109,53.1,15.6,32059,6588,11.2,11.2,77806,48735,35.7,14.9,41250,19990,31.8,14.8,40750,22646,3.9,4.6,-,**,18.2,(X),(X),(X),16.0,(X),(X),(X),20.4,(X),(X),(X)
