county,hsanum,hsacity,hsastate,ratio2010,ratio2011,ratio2012,ratio2013,ratio2014,ratio2015,ratio2016
23001,20016,Farmington,ME,0.04983,0.05003,0.05032,0.05039,0.04718,0.0474,0.0475
23001,20019,Lewiston,ME,0.94982,0.94962,0.94938,0.94928,0.95252,0.95237,0.95227
23001,20023,Norway,ME,2.7e-4,2.7e-4,2.2e-4,2.2e-4,2.1e-4,2.1e-4,2e-4
23001,20025,Portland,ME,8e-5,8e-5,8e-5,8e-5,8e-5,0,0
23003,20012,Caribou,ME,0.26432,0.26326,0.26089,0.25909,0.24156,0.24026,0.23843
23003,20017,Fort Kent,ME,0.19986,0.19972,0.19796,0.19812,0.17718,0.1778,0.17728
23003,20018,Houlton,ME,0.20903,0.20949,0.21113,0.21106,0.23152,0.23226,0.23318
23003,20020,Lincoln,ME,0.00598,0.00612,0.00842,0.00858,0.00822,0.00773,0.00854
23003,20022,Millinocket,ME,0.01114,0.01179,0.01216,0.01231,0.01204,0.0122,0.01226
23003,20026,Presque Isle,ME,0.30967,0.30962,0.30943,0.31085,0.32948,0.32974,0.33032
23005,20009,Bridgton,ME,0.0425,0.04311,0.04062,0.0394,0.03916,0.03948,0.03995
23005,20010,Brunswick,ME,0.13124,0.13083,0.12588,0.12577,0.13381,0.13306,0.13298
23005,20019,Lewiston,ME,0.01621,0.0162,0.01517,0.01526,0.01495,0.01498,0.0148
23005,20025,Portland,ME,0.81005,0.80985,0.81833,0.81958,0.81209,0.81248,0.81226
23007,20016,Farmington,ME,0.98005,0.98003,0.97999,0.9798,0.97956,0.97925,0.97821
23007,20028,Rumford,ME,0.01995,0.01997,0.02001,0.0202,0.02044,0.02075,0.02141
23009,20002,Bangor,ME,0.17198,0.17241,0.15825,0.15849,0.15954,0.15917,0.15824
23009,20003,Bar Harbor,ME,0.19502,0.19424,0.1768,0.1766,0.19168,0.19188,0.19182
23009,20007,Blue Hill,ME,0.2169,0.21775,0.24842,0.24738,0.23335,0.23316,0.2342
23009,20015,Ellsworth,ME,0.4161,0.41561,0.41653,0.41753,0.41543,0.41579,0.41575
23011,20001,Augusta,ME,0.50076,0.50054,0.50306,0.50177,0.50789,0.50712,0.50695
23011,20016,Farmington,ME,0.02644,0.02647,0.02512,0.02542,0.02538,0.02554,0.02582
23011,20019,Lewiston,ME,0.0374,0.03743,0.03501,0.03525,0.0322,0.03225,0.03253
23011,20031,Waterville,ME,0.43541,0.43556,0.43681,0.43756,0.43453,0.43508,0.43468
23013,20007,Blue Hill,ME,0,0,0,0,0,0,0
23013,20027,Rockland,ME,1,1,1,1,1,1,0.99991
23015,20001,Augusta,ME,0.18979,0.18952,0.1887,0.18792,0.18787,0.18907,0.1874
23015,20008,Boothbay Harbor,ME,0.19011,0.19033,0.19034,0.18983,0.18971,0.18883,0.19301
23015,20010,Brunswick,ME,0.14761,0.14796,0.1484,0.14776,0.1458,0.14532,0.1436
23015,20013,Damariscotta,ME,0.33099,0.33074,0.33087,0.33381,0.33646,0.33756,0.33742
23015,20027,Rockland,ME,0.14151,0.14146,0.14169,0.14068,0.14016,0.13922,0.13856
23017,20009,Bridgton,ME,0.1281,0.12855,0.12971,0.13787,0.13576,0.13691,0.13769
23017,20016,Farmington,ME,4e-5,4e-5,8e-5,8e-5,8e-5,7e-5,2.2e-4
23017,20019,Lewiston,ME,0.08511,0.08508,0.08567,0.08509,0.07997,0.08045,0.08051
23017,20023,Norway,ME,0.46073,0.46172,0.46105,0.45784,0.47888,0.47939,0.47985
23017,20025,Portland,ME,0.04441,0.04505,0.04528,0.04483,0.04489,0.04598,0.04668
23017,20028,Rumford,ME,0.2816,0.27956,0.2782,0.27429,0.26043,0.25719,0.25505
23019,20002,Bangor,ME,0.76638,0.76579,0.77459,0.77501,0.77488,0.77456,0.77444
23019,20014,Dover-Foxcroft,ME,0.0308,0.03085,0.03004,0.02856,0.02865,0.02864,0.02817
23019,20018,Houlton,ME,0.00512,0.00531,0.00515,0.00529,0.00547,0.00563,0.00777
23019,20020,Lincoln,ME,0.08025,0.08097,0.07743,0.07822,0.07814,0.07868,0.07793
23019,20022,Millinocket,ME,0.06641,0.06588,0.06364,0.06335,0.06247,0.06195,0.06095
23019,20024,Pittsfield,ME,0.05104,0.05118,0.04915,0.04957,0.05039,0.05055,0.05074
23021,20002,Bangor,ME,1.4e-4,1.4e-4,1.3e-4,1.3e-4,1.3e-4,1.3e-4,0
23021,20014,Dover-Foxcroft,ME,0.86807,0.86585,0.86582,0.86099,0.85885,0.85967,0.84613
23021,20030,Skowhegan,ME,0.01892,0.01909,0.019,0.0213,0.02095,0.01935,0.02193
23021,20035,Greenville,ME,0.11287,0.11493,0.11505,0.11757,0.12007,0.12072,0.13157
23023,20001,Augusta,ME,0.09547,0.0954,0.0905,0.09059,0.09038,0.09048,0.0901
23023,20010,Brunswick,ME,0.90435,0.90442,0.90922,0.90913,0.90934,0.90869,0.90908
23023,20019,Lewiston,ME,1.8e-4,1.8e-4,2.8e-4,2.8e-4,2.8e-4,8.3e-4,8.2e-4
23025,20014,Dover-Foxcroft,ME,0.019,0.019,0.01732,0.02132,0.02165,0.02149,0.02146
23025,20016,Farmington,ME,0.00268,0.00273,0,0,0,5.3e-4,3.1e-4
23025,20024,Pittsfield,ME,0.21225,0.21204,0.21472,0.21387,0.21591,0.2132,0.21242
23025,20030,Skowhegan,ME,0.57174,0.57402,0.58327,0.58195,0.58941,0.59191,0.59245
23025,20031,Waterville,ME,0.19188,0.18981,0.18207,0.18028,0.17045,0.17023,0.17077
23025,20035,Greenville,ME,0.00245,0.0024,0.00263,0.00258,0.00258,0.00263,0.00259
23027,20002,Bangor,ME,0.1023,0.10163,0.10207,0.10243,0.0951,0.09482,0.0943
23027,20005,Belfast,ME,0.55734,0.555,0.55405,0.55383,0.56534,0.5651,0.56397
23027,20027,Rockland,ME,0.12626,0.12744,0.12824,0.1281,0.14658,0.14648,0.14683
23027,20031,Waterville,ME,0.2141,0.21594,0.21565,0.21564,0.19298,0.1936,0.19489
23029,20011,Calais,ME,0.34909,0.35345,0.35707,0.35643,0.4239,0.42306,0.42391
23029,20015,Ellsworth,ME,0.13246,0.13161,0.13098,0.13129,0.12008,0.12012,0.12051
23029,20018,Houlton,ME,0.03296,0.0329,0.02762,0.02787,0.02584,0.02502,0.02295
23029,20021,Machias,ME,0.48548,0.48203,0.48433,0.48441,0.43017,0.4318,0.43264
23031,20006,Biddeford,ME,0.39261,0.39197,0.38969,0.38909,0.3886,0.38844,0.38711
23031,20025,Portland,ME,0.09424,0.09442,0.087,0.08732,0.08467,0.0853,0.08547
23031,20029,Sanford,ME,0.24379,0.24319,0.22384,0.2234,0.22067,0.22058,0.22099
23031,20033,York,ME,0.20546,0.20647,0.24066,0.2415,0.23456,0.23464,0.23571
23031,30006,Dover,NH,0.06389,0.06396,0.05881,0.05869,0.07149,0.07104,0.07072
23031,30022,Portsmouth,NH,0,0,0,0,0,0,0
23001,20001,Augusta,ME,0,0,0,2e-5,2e-5,2e-5,2e-5
23013,20005,Belfast,ME,0,0,0,0,0,0,9e-5
23021,20020,Lincoln,ME,0,0,0,0,0,1.3e-4,3.7e-4
23007,20030,Skowhegan,ME,0,0,0,0,0,0,3.8e-4
23011,20010,Brunswick,ME,0,0,0,0,0,0,2e-5
